sample_id,source_collection,source_record_id,source_url,source_url_status,phash_64,sha256
BLB-440306C6B5F4EA80,Official websites of eight Chinese publishers,,,not_retained,a96a64276f2bd303,f90bff5d0092dab988a05770f9b60e90c3b80bd9af893d274f0a070a4afff493
BLB-C330AFAFD67161D3,Official websites of eight Chinese publishers,,,not_retained,8a0eec7c75e7068c,fcd232fe894088b7427a27e3fae530cf07762c45f5ea44ad65f0161c6d5a5c8b
BLB-D4081A4197F48067,Official websites of eight Chinese publishers,,,not_retained,f6e8a01ecca6913d,7b0dbba6aa69023c16fb73ca0f4fff93b7a781eabd6dd483d8f28e3787302a15
BLB-418093A5D16E9F01,Official websites of eight Chinese publishers,,,not_retained,9d41b651d9be2307,b8099cb73a8c3270a7584d8dd0414ca99bb861054ab6f321092f6b612bf273b2
BLB-948D756E1150E669,Official websites of eight Chinese publishers,,,not_retained,905b2ecbc16e3d43,e40bb2dff0401315a22606f8b7cf9deaf6aaf6234cf651d3787e0930c4c8b5bd
BLB-772A87D8FD9370D9,Official websites of eight Chinese publishers,,,not_retained,9f85a53e6a72c069,f482a8f6730d6e22a4bf7b41f824f4a6718d9a989e5a319cbdbfe69968f3fdcb
BLB-F7C6226155064D7B,Official websites of eight Chinese publishers,,,not_retained,bee85091b341ccb7,e80e09e30a9dfe08a261851b3e1a4fb209cfb95cc141edda152646aacec76edf
BLB-3EC4F25062E437F8,Official websites of eight Chinese publishers,,,not_retained,c0383e37e5d2986d,b6d28de20016f65dfa30e95881d4501c23549fdf0412c3f0711b3524734c4bde
BLB-8B30DCDF2A201C2B,Official websites of eight Chinese publishers,,,not_retained,e0659dca97334a9c,27e41e8cc5ac349f214b9955cc4d3e3ce4daa47812d629274c21bb5f0718f156
BLB-712574F90A18B2B3,Official websites of eight Chinese publishers,,,not_retained,c9c7a6bc8c98d943,8d011a29d5b0ac1fc6bef647f88866c16280ebde6a7a375ee1c73399b2b48f1a
BLB-A18C4E3F06CEF82D,Official websites of eight Chinese publishers,,,not_retained,b4939b64b36cc496,bc067839304c7a0e4d4d4944faf68cd4c75bb3d0e9dc2336ea1fe4c07781be12
BLB-73B2E5975AF20D7A,Official websites of eight Chinese publishers,,,not_retained,bf95c162c4cbc44b,aed41b1418b349ad02dc8b9bc30f5cb6f9e61e8c90ccacc23519b9adddabd28b
BLB-701DBBFEE5325589,Official websites of eight Chinese publishers,,,not_retained,b4f514c34dcd2d8a,e9d885a3fa8fff74073ae0893510dc33d874a95c1ab79aa753e50158cc66eb34
BLB-973277EE82D17FC7,Official websites of eight Chinese publishers,,,not_retained,bf25c0c69bc2e42d,4ff14734a3bc394482cc03af18ad09656a9dd77f45849c3d9a580be0c1f56fcf
BLB-E5439B326FA4ED65,Official websites of eight Chinese publishers,,,not_retained,bbd4c41e913bc46c,ea5b24c726b916166d1e6050a0f4d20b20d0cfc3066adf1637721eb60318c4ed
BLB-71A38635681C59C8,Official websites of eight Chinese publishers,,,not_retained,850daf4362fe6272,51c8a5ec6ce0515619d3978f2b5d2c7e3f6590ff397dd31a7ffeb19b43c7fd7e
BLB-62140F38F535B0D5,Official websites of eight Chinese publishers,,,not_retained,9a0da57279e2331b,0d61fae5d2224814a16c65b2dd51f0e5fd0baef6a1340120bea42d78e0d462ff
BLB-9FC733B0A905B9D8,Official websites of eight Chinese publishers,,,not_retained,f6428fd904b65179,07155272c1e7d39a65832c93e6a35ada05d403e7bb626416e1ef9554b1135d81
BLB-E6218A3D441ABA6E,Official websites of eight Chinese publishers,,,not_retained,9999706686d47dc3,0e5761c78389bda30d595eb58fb9639cff4d9a08863ca85279bf4ef4ddbcd389
BLB-551A4ABF7DC52DF5,Official websites of eight Chinese publishers,,,not_retained,994cc6a375ec242f,58d5c4a3a2e67d7264f0e2b35119f39ec580c7001676bd5806ab7fd0178460db
BLB-A984147C4BC90E66,Official websites of eight Chinese publishers,,,not_retained,850565da9af2f272,28662901c475e1e9a773c7fe1dd5b0c9edea4c0c0b823965293da23a7e2691d4
BLB-1602B15D08E4F9AF,Official websites of eight Chinese publishers,,,not_retained,a129e6971f4c94f4,90b5bcb7bafecdc75cded51e38cf302cd821e563b5cd44395ea8a2da3fb4f847
BLB-6714ABE644079D6F,Official websites of eight Chinese publishers,,,not_retained,9536cd66d84a72a5,05f6501a4557e6777c637f98990d6331363ca6ec8983c5ce676226d57052682a
BLB-AD136145AD8878D3,Official websites of eight Chinese publishers,,,not_retained,dc78eb0d25da0317,4839a3c5299210a9b781a5ffe7588cb8f0796dcf1d3f374746e6aabe7e54b326
BLB-673FB131347DBA79,Official websites of eight Chinese publishers,,,not_retained,ebe93c9007b7b40c,6c0008f0668181cd363a63b3f4ad0abd21b23685931896b17fcde91b6582ce6a
BLB-31E46066C0E2EC6F,Official websites of eight Chinese publishers,,,not_retained,b9e9480897b5e687,6516b99265f03693928c21f8b9652641f310e919859ad6bfbb7c6a4eeb443e27
BLB-49C4D1D26E94F52D,Official websites of eight Chinese publishers,,,not_retained,f3030cfae2871c7a,5f6b7643dea628efae7bd040dc07e89d95d2a1346a029b2082ea29d6c447bdd0
BLB-76DAB00B31AAB398,Official websites of eight Chinese publishers,,,not_retained,e0619f5f52f8420f,df00f8e1250a623e30858f56b8bb72027d92e613fdac698fb69cc9c58d3117cf
BLB-C777558879594D90,Official websites of eight Chinese publishers,,,not_retained,90d878f2e3271d9c,adcbca365662d548d5a6d024fd67f1999ecb659115d4c3f5a5e2810c7b91acc0
BLB-BAFF16BDD54B4A15,Official websites of eight Chinese publishers,,,not_retained,9b6bc505279e86b4,8609447d4cb125273c029ee25ef827e72998df1be7f15946eccf4e71049e2680
BLB-543C910EC8849EA4,Official websites of eight Chinese publishers,,,not_retained,c5aaa25cf91697e0,2707ef35e81644c0dc8b27c3846bdb330eeb2a0ead461a87c3af3bb9f006d63d
BLB-39B8AE06A9CA3957,Official websites of eight Chinese publishers,,,not_retained,c22d90d83fc33774,68b206a2259e7a4adf220ae50a4a839241846ca65dda4c18f08df53a49aa6034
BLB-1835C95C8C4B7D72,Official websites of eight Chinese publishers,,,not_retained,e3429a2d31c7cc7c,a8a458685b72d7dab0406b6325cf76da64ab6689f57b08c4714ed764ca0b5bb0
BLB-72F62C4ED6821C6C,Official websites of eight Chinese publishers,,,not_retained,979fe1e016b44aa6,7c7cb64d1d729a0c54ad8cd909c8e71ee15cae98f951ed0aed5741a101301eec
BLB-8051579682C87B5B,Official websites of eight Chinese publishers,,,not_retained,f2930cecf603b079,3fa22fafd9be666d2a9d4816906a75c2dd03734bb6208e030af8c2640d570d39
BLB-2E2E5206CB3A6AE7,Official websites of eight Chinese publishers,,,not_retained,af25e04b96d29a96,39dd3825cf7b0ee87c9f58b2230383f3c3f861905b875f6e7768400d56dc79d8
BLB-BF88DC8C0B65B7C1,Official websites of eight Chinese publishers,,,not_retained,c650bb23648f7d25,54d173aa5f51776174c215beacb039f2cbef771966ba1f8358f9cc78456116e4
BLB-243C21432E9AFB10,Official websites of eight Chinese publishers,,,not_retained,ad1f9bc496c99630,a6f8f06bf4bf2e70ea96bb9272b2c44e902737a79aa53275ccae5cd9cca5955d
BLB-EB97B782114D4F17,Official websites of eight Chinese publishers,,,not_retained,f2148b6b358a657a,716e2443d64c24456285d5619dbd38bd72e8e9ff48ba368222625c7f7837a978
BLB-C339406301255FA8,Official websites of eight Chinese publishers,,,not_retained,a625b84b65ba654b,4ae7b4cfb21e50dd94c26c14f81948b027b4b0e66956d67e83b34da9b8cda759
BLB-8FA60F71B8F92856,Official websites of eight Chinese publishers,,,not_retained,bb18e24925b65ccb,3c9c54e8c2ee6589a1099284a597f44c3fad10733f8f8a3a6f3e2c14820388f0
BLB-95B8D4BEE5585132,Official websites of eight Chinese publishers,,,not_retained,9235e96d50eb495a,87a4aa7076e44068ff89d8f29ec7ba6c7dfa3b6488f94d2de162f062d5d43dee
BLB-619660B4130B5D33,Official websites of eight Chinese publishers,,,not_retained,ebc9d502d7ac2097,51258a63e224bb62e3d68a1df2046a04118d611ad6d698a0427146acc46cba4b
BLB-E2770B0D8DE36EB8,Official websites of eight Chinese publishers,,,not_retained,da9a65853bb3486a,d6fc5da3fba31194fb94426899a33e21b96a8c8d9239fd9981d9a149169b9702
BLB-85556B87565DA466,Official websites of eight Chinese publishers,,,not_retained,89f9b60eda8368b1,9b7790f03cb07ecc12e8513dcf9651ba599de649beb1b43288eca2837345544e
BLB-731311C210171D1B,Official websites of eight Chinese publishers,,,not_retained,eae60561853d789d,e5d6e993a26766d76ae6f160fc63163db7fd6e2840cda5d977216dc3a8821f7b
BLB-526CE6DC0A7F3A69,Official websites of eight Chinese publishers,,,not_retained,93b335cc4c04fab3,a37a53fabaee65eb70319986ea294399e5b914abab134b000e950138bb612ea9
BLB-1F6A9614DAF8A502,Official websites of eight Chinese publishers,,,not_retained,e4e543c18d35a7c3,00a5a92769062054015bc7591a8f0d4e7433539e607c32de5f25c146e3286d16
BLB-903D6DB89AE64BAE,Official websites of eight Chinese publishers,,,not_retained,ededd212e13c9069,3ec17e74a1199609ce73e27d9f17c8738d33941fb31938ca435d4b63a41b386e
BLB-ED5472A275A5487E,Official websites of eight Chinese publishers,,,not_retained,ac83f66dd998e680,ffd5922fe36d6696f75b1523d47ad4f18629c068be5bef306f445ec371fea209
BLB-F219B007EF1EACF7,Official websites of eight Chinese publishers,,,not_retained,99c6f8378c39c7a0,8b322b7f3d3b48cdeee292339b0f7d266cfa068129f0a504e2583ffdcf18520d
BLB-D6673EE1A2F76FA0,Official websites of eight Chinese publishers,,,not_retained,ff37d882e18590cc,42004dd231528979f40f45405edd13392d830401ebbf4688a10359c8c1669994
BLB-4B59F97549C82A59,Official websites of eight Chinese publishers,,,not_retained,fa0f96b047da98a4,ddea3e5c4a9d4eda9cffffcb225a81be98fd0de75036ebce3478fb0d4ed353a1
BLB-6616B8F0D0C3C16A,Official websites of eight Chinese publishers,,,not_retained,d1e11e1ce1c24d3f,398598a984124b3b9830e12fec0f539777f6a0ab69968794f0c54f85a2032758
BLB-61E2AF6E8C0F2BFA,Official websites of eight Chinese publishers,,,not_retained,9767e8171de8029d,409b7fb38e276bcffaf0e8f4c29964e4f27c6f92823b398ffde1b307df8edd97
BLB-C45DDA423F58F4E2,Official websites of eight Chinese publishers,,,not_retained,f11393b153e50e4e,51da7f7e600babd45cb3afdd2cbfab30a7d867787fc8e9131d25f5948fba58e0
BLB-159A4CA3B42D38B5,Official websites of eight Chinese publishers,,,not_retained,ea9205fd0fa57906,d6e7b7497c5f2ee7052afc470fc0e473f9859f1023ca468c081fec5903e28ee0
BLB-DF4DA88C5A827B8D,Official websites of eight Chinese publishers,,,not_retained,bfa56a4a9832d2ca,cefcb9408ac1e8be69ddb6c61f9359c806a92cafd600536827c83c6e61d42697
BLB-19BBAF002F432262,Official websites of eight Chinese publishers,,,not_retained,c5aad0847fd1688f,3889d33b2cffb4f3d0c9c729402385fdbef018eb58b78491b2588081fe9e1932
BLB-C090C5585E0B51BB,Official websites of eight Chinese publishers,,,not_retained,804f87a3787e3b89,71b5df0c100fc214145c5c1c74ae452122d86be0b85ebd923948a277961f9232
BLB-A046151675377CDD,Official websites of eight Chinese publishers,,,not_retained,e4c3916cd9c69b92,1f8b8c5b0806787574b3278a5c05da9a97fba87b3799edd7131a6edc099ef190
BLB-F8416463A9C16879,Official websites of eight Chinese publishers,,,not_retained,bf4a9c13c0b8676c,4cb3712f7ebd4eccd4479979ca8a82acc385426e724497463df8e2c212457b26
BLB-C4EE74BA44E36BC7,Official websites of eight Chinese publishers,,,not_retained,df4a611d95d438e1,cb8b6aac9317fa6c347241966cf672b0c7277bdedd46ea7ac0f2ab9dcf13498c
BLB-25112772F0F1433D,Official websites of eight Chinese publishers,,,not_retained,9ac2e61cc3e61ce3,a23dfe9c7614b0d41b013585373a443610f1cc8068dba7e0aa826608e0fd7388
BLB-37CD70EE1BADF8B9,Official websites of eight Chinese publishers,,,not_retained,ebcb4094b737c0c9,a93887a89e7a5092bb2ec5674b3a3d70fcc8e4f5c323594d1d49c5d9ae707759
BLB-BAEA247481B44D19,Official websites of eight Chinese publishers,,,not_retained,db8be474b0320f87,d040f795a57286f5f43fa8f80a37ded607f34314727400f6c4113474a6eff636
